id,name,constituencyLabel,constituency,groupLabel,group
Q1883801,Magdalena Martullo-Blocher,Grisons,Q11925,V,Q1305894
Q867613,Nadine Masshardt,Berne,Q11911,S,Q86726489
Q71800926,Michel Matter,Genève,Q11917,GL,Q86726489
Q17305571,Thomas Matter,Zurich,Q11943,V,Q1305894
Q74657073,Melanie Mettler,Berne,Q11911,GL,Q86726489
Q23059253,Mattea Meyer,Zurich,Q11943,S,Q86726489
Q71813085,Sophie Michaud Gigon,Vaud,Q12771,G,Q86726489
Q16064320,Fabian Molina,Zurich,Q11943,S,Q86726489
Q120742,Isabelle Moret,Vaud,Q12771,RL,Q86726489
Q2431095,Tiana Angelina Moser,Zurich,Q11943,GL,Q86726489
Q1345180,Leo Müller,Lucerne,Q12121,C-CED,Q86726489
Q1307140,Stefan Müller-Altermatt,Soleure,Q11929,C-CED,Q86726489
Q16101788,Martina Munz,Schaffhouse,Q12697,S,Q86726489
Q16669767,Philippe Nantermod,Valais,Q834,RL,Q86726489
Q21294778,Jacques Nicolet,Vaud,Q12771,V,Q1305894
Q119811,Yves Nidegger,Genève,Q11917,V,Q1305894
Q120724,Roger Nordmann,Vaud,Q12771,S,Q86726489
Q1351504,Eric Nussbaumer,Bâle-Campagne,Q12146,S,Q86726489
Q50424583,Nicolo Paganini (homme politique),Saint-Gall,Q12746,C-CED,Q86726489
Q21170951,Pierre-André Page,Fribourg,Q12640,V,Q1305894
Q74429417,Isabelle Pasquier,Genève,Q11917,G,Q86726489
Q1387808,Gerhard Pfister,Zoug,Q11933,C-CED,Q86726489
Q18413490,Valérie Piller Carrard,Fribourg,Q12640,S,Q86726489
Q71815070,François Pointet,Vaud,Q12771,GL,Q86726489
Q71795735,Léonore Porchet,Vaud,Q12771,G,Q86726489
Q18020671,Hans-Peter Portmann,Zurich,Q11943,RL,Q86726489
Q125403,Katharina Prelicz-Huber,Zurich,Q11943,G,Q86726489
Q72063373,Stéfanie Prezioso,Genève,Q11917,G,Q86726489
Q19365452,Jon Pult,Grisons,Q11925,S,Q86726489
Q74410576,Valentine Python,Vaud,Q12771,G,Q86726489
Q3259501,Lorenzo Quadri,Tessin,Q12724,V,Q1305894
,Thomas Rechsteiner,Appenzell Rhodes-Intérieures,Q12094,C-CED,Q86726489
Q15809173,Fabio Regazzi,Tessin,Q12724,C-CED,Q86726489
Q116891,Lukas Reimann,Saint-Gall,Q12746,V,Q1305894
Q3298593,Mathias Reynard,Valais,Q834,S,Q86726489
Q77074968,Maja Riniker,Argovie,Q11972,RL,Q86726489
Q1771134,Markus Ritter,Saint-Gall,Q12746,C-CED,Q86726489
Q46351629,Benjamin Roduit,Valais,Q834,C-CED,Q86726489
Q15833802,Marco Romano,Tessin,Q12724,C-CED,Q86726489
Q119388,Albert Rösti,Berne,Q11911,V,Q1305894
,Franziska Roth,Soleure,Q11929,S,Q86726489
Q71813104,Marie-France Roth Pasquier,Fribourg,Q12640,C-CED,Q86726489
Q73746500,Monika Rüegger-Hurschler,Obwald,Q12573,V,Q1305894
Q21294822,Franz Ruppen,Valais,Q834,V,Q1305894
Q1417673,Gregor Rutz,Zurich,Q11943,V,Q1305894
Q71957069,Franziska Ryser,Saint-Gall,Q12746,G,Q86726489
Q1029622,Regula Rytz,Berne,Q11911,G,Q86726489
Q23059257,Regine Sauter,Zurich,Q11943,RL,Q86726489
Q66547307,Barbara Schaffner,Zurich,Q11943,GL,Q86726489
Q66500771,Therese Schläpfer,Zurich,Q11943,V,Q1305894
Q67942617,Marionna Schlatter,Zurich,Q11943,G,Q86726489
Q1163549,Daniela Schneeberger,Bâle-Campagne,Q12146,RL,Q86726489
Q71974203,Meret Schneider,Zurich,Q11943,G,Q86726489
Q1605682,Ursula Schneider Schüttel,Fribourg,Q12640,S,Q86726489
Q1307186,Elisabeth Schneider-Schneiter,Bâle-Campagne,Q12146,C-CED,Q86726489
Q120637,Pirmin Schwander,Schwytz,Q12433,V,Q1305894
Q23059252,Priska Seiler Graf,Zurich,Q11943,S,Q86726489
Q1600981,Heinz Siegenthaler,Berne,Q11911,C-CED,Q86726489
Q30017107,Andri Silberschmidt,Zurich,Q11943,RL,Q86726489
Q2221105,Sandra Sollberger,Bâle-Campagne,Q12146,V,Q1305894
,Simon Stadler,Uri,Q12404,C-CED,Q86726489
Q21180065,Barbara Steinemann,Zurich,Q11943,V,Q1305894
Q77073229,Bruno Storni,Tessin,Q12724,S,Q86726489
Q402548,Marianne Streiff,Berne,Q11911,C-CED,Q86726489
Q77073222,Manuel Strupler,Thurgovie,Q12713,V,Q1305894
Q1824984,Lilian Studer,Argovie,Q11972,C-CED,Q86726489
Q61596185,Gabriela Suter,Argovie,Q11972,S,Q86726489
Q50353755,Michael Töngi,Lucerne,Q12121,S,Q86726489
Q2647135,Aline Trede,Berne,Q11911,G,Q86726489
Q21180030,Mauro Tuena,Zurich,Q11943,V,Q1305894
Q117105,Nadja Umbrecht Pieren,Berne,Q11911,V,Q1305894
Q61708598,Susanne Vincenz-Stauffacher,Saint-Gall,Q12746,RL,Q86726489
Q1264296,Hans-Ueli Vogt,Zurich,Q11943,V,Q1305894
Q119186,Erich von Siebenthal,Berne,Q11911,V,Q1305894
Q24703507,Nicolas Walder,Genève,Q11917,G,Q86726489
Q21180045,Bruno Walliser,Zurich,Q11943,V,Q1305894
Q18018671,Beat Walti,Zurich,Q11943,RL,Q86726489
Q73883,Christian Wasserfallen,Berne,Q11911,RL,Q86726489
Q15809769,Flavia Wasserfallen,Berne,Q11911,S,Q86726489
Q21294873,Laurent Wehrli,Vaud,Q12771,RL,Q86726489
Q1536747,Manuela Weichelt-Picard,Zoug,Q11933,G,Q86726489
Q117904,Cédric Wermuth,Argovie,Q11972,S,Q86726489
Q65966461,Felix Wettstein,Soleure,Q11929,G,Q86726489
Q72089261,Céline Widmer,Zurich,Q11943,S,Q86726489
Q21032279,Priska Wismer-Felder,Lucerne,Q12121,C-CED,Q86726489
Q118126,Walter Wobmann,Soleure,Q11929,V,Q1305894
Q21264986,David Zuberbühler,Appenzell Rhodes-Extérieures,Q12079,V,Q1305894
Q76891689,Jean-Pierre Gallati,Argovie,Q11972,V,Q1305894
Q2638946,Albert Vitali,Lucerne,Q12121,RL,Q86726489
